character A,character B,TEXT,LINE
Moody,Harry,I'm a purveyor of rare and wondrous objects.,283
Ron,Moody,"You're a thief, Dung. Everyone knows it.",284
Dobby,Ron,"Master Weasley, so good to see you again.",285
Moody,All,"Listen, I panicked that night, all right? Could I help it if Mad-Eye fell off his broom?",286
Kreacher,Moody,You…,287
Hermoine,Moody,Tell the truth,288
Harry,Moody,"When you turned this place over...Don't deny it. You found a locket, am I right?",289
Moody,Harry,Why? Was it valuable?,290
Hermoine,Moody,You still got it?,291
Ron,Hermoine,"No, he's worried he didn't get enough money for it.",292
Moody,All,"Bleeding give it away, didn't I? There I was, flogging me wares in Diagon Alley…...when some Ministry hag comes up and asks to see me license. Says she's a mind to lock me up. And would've done it too, if she hadn't taken a fancy to that locket.",293
Harry,Moody,Who was she? The witch. Do you know?,294
Moody,All,"Well, she's there. Look. Bleeding bow and all.",295
Hermoine,Harry,"Right, remember what we said. Don't speak to anyone unless absolutely necessary.",296
Hermoine,Ron,"Just try and act normal. Do what everybody else is doing. If we do that, then with a bit of luck, we'll get inside.",297
Harry,Hermoine,This is completely mental,298
Hermoine,Harry,Completely,299
Ron,Hermoine,The world's mental. Come on…...we've got a Horcrux to find.,300
Ron,Harry,We flush ourselves in. That's bloody disgusting.,301
Harry,Hermoine,Are those?,302
Hermoine,Harry,"Muggles, In their rightful place.",303
Ron,Harry,"Gotta tell you, I'm starting to freak out a bit.",304
Harry,Hermoine,"How long did you say this batch of Polyjuice would last, Hermione?",305
Hermoine,Harry,I didn't.,306
Harry,Ron,"Ron, you don't have a wife.",307
Ron,Harry,But how do I stop it raining?,308
Hermoine,Ron,"Try  FiniteIncantatemspell. This is you, Ron.",309
Ron,Hermoine,And if that doesn't work?,310
Harry,Hermoine,If we don't locate Umbridge within the hour…...we go find Ron and come back another day. Deal?,311
Hermoine,Harry,Yes,312
Harry,SPELL,Acciolocketspell,313
Harry,Ron,"Ron, it's me.",314
Ron,Harry,"Harry. Blimey, forgot what you looked like. Where's Hermione?",315
Harry,Hermoine,"She's gone down to the courtrooms, with Umbridge.",316
Ron,Harry,Bloody cold down here.,317
Umbridge,Mary,"Mary Elizabeth Cattermole? Of 27 Chislehurst Gardens, Great Tolling, Evesham? Mother to Maisie, Ellie and Alfred? Wife to Reginald?",318
Mary,Umbridge,Yes,319
Umbridge,Mary,A wand was taken from you upon your arrival at the Ministry today. Is this that wand? Would you please tell the court from which witch or wizard you took this wand?,320
Mary,Umbridge,"I didn't take it. I got it in Diagon Alley, at OIlivander's, when I was 11. It chose me.",321
Umbridge,Mary,"You're lying. Wands only choose witches, and you are not a witch.",322
Mary,Umbridge,But I am.,323
Umbridge,Harry,"What on earth are you doing, Albert?",324
Harry,Umbridge,"You're lying, Dolores. And one mustn't tell lies.",325
Harry,SPELL,stupefyspell,326
Mary,Harry,It's Harry Potter.,327
Ron,Mary,"It is, isn't it? This'll be one to tell the kids.",328
Harry,SPELL,Expectopatronumspell,329
Ron,Mary,"Mary, go home. Get the kids. I'll meet you there. We have to get out of the country, understand? Mary, do as I say.",330
Ron,SPELL,Expelliarmusspell,331
Ron,Hermoine,"Oh, my God.",332
Hermoine,Ron,"Shh, shh, shh. It's all right. It's okay.",333
Hermoine,Harry,"Harry. Harry, quickly, in my bag. There's a bottle labeled Essence of Dittany. ",334
Hermoine,Ron,Shh. Shh.,335
Hermoine,Harry,Quickly. It's all right. Unstopper it.,336
Harry,Hermoine,"Hermione, his arm.",337
Hermoine,Harry,"I know, just do it.",338
Hermoine,Ron,"It's okay. Okay, it's gonna sting a little bit.",339
Harry,Hermoine,What happened? I thought we were going back to Grimmauld Place,340
Hermoine,Harry,We were,341
Hermoine,Ron,"It's all right. One more, one more.",342
Hermoine,Harry,"We were there, we were there, but Yaxley had hold of me, and I…I knew once he'd seen where we were, we couldn't stay…...so I brought us here…...but Ron got splinched.",343
Harry,Hermoine,It's all right.,344
Hermoine,SPELL,Protegototalumspell,345
Hermoine,SPELL,Salviohexiaspell,346
Harry,Hermoine,What are you doing?,347
Hermoine,Harry,"Protective enchantments. I don't fancy another visit like the one we had in Shaftesbury Avenue, do you? You can get going on the tent.",348
Harry,Hermoine,Where am I supposed to find a tent?,349
Hermoine,SPELL,Repellomuggletumspell,350
Hermoine,Harry,You first.,351
Harry,SPELL,Dissendiumspell,352
Hermoine,SPELL,Incendiospell,353
Harry,SPELL,Expulsospell,354
Harry,SPELL,Diffindospell,355
Harry,SPELL,Reductospell,356
Hermoine,Harry,What are you doing?,357
Harry,Hermoine,We have to keep it safe until we find out how to destroy it.,358
Ron,Harry,"Seems strange, mate. Dumbledore sends you off…...to find all these Horcruxes, but doesn't tell you how to destroy them. Doesn't that bother you?",359
Voldermort,Harry,"You know the spell, Harry.",360
Voldermort,Gregorovitch,Tell me. Tell me Gregorovitch,361
Gregorovitch,Voldermort,It was stolen from me.,362
Voldermort,Gregorovitch,Who was he? The thief?,363
Gregorovitch,Voldermort,It was a boy. It was he who took it. I never saw it again. I swear on my life.,364
Voldermort,Gregorovitch,I believe you.,365
Voldermort,SPELL,AvadaKedavraspell,366
Hermoine,Harry,"I thought it had stopped. You can't keep letting him in, Harry.",367
Harry,Hermoine,You-Know-Who has found Gregorovitch.,368
Hermoine,Harry,The wandmaker?,369
Harry,Hermoine,"He wants something that Gregorovitch used to have…...but I don't know what. But he wants it desperately. I mean, it's as if his life depends on it.",370
Hermoine,Harry,Don't. It comforts him,371
Harry,Hermoine,"It sets my teeth on edge. What's he expecting to hear, good news?",372
Hermoine,Harry,I think he just hopes he doesn't hear bad news.,373
Harry,Hermoine,How long before he can travel?,374
Hermoine,Harry,I'm doing everything I can.,375
Harry,Hermoine,You're not doing enough!,376
Hermoine,Harry,"Take it off. I said, take it off now. Better?",377
Harry,Hermoine,Loads,378
Hermoine,Harry,"We'll take it in turns, okay?",379
Scabior,Man,What's that? What's that smell? What you doing?,380
Man,Scabior,It's heavy,381
Scabior,Man,"Oh, sorry. Do you want me to carry it?",382
Man,Scabior,"Yeah, thank you.",383
Scabior,Man,Don't be ridiculous. Pick it up.,384
Harry,Hermoine,Snatchers. Good to know your enchantments work.,385
Hermoine,Harry,He could smell it. My perfume. I've told you…...Ron isn't strong enough to Apparate.,386
Harry,Hermoine,"Well, then, we'll go on foot. And next time, Hermione, as much as I like your perfume, just don't wear any.",387
Harry,Hermoine,Oh. Thank you.,388
Ron,Hermoine,"He doesn't know what he's doing, does he?",389
Hermoine,Ron,None of us do.,390
Hermoine,Harry,"Oh, my God.",391
Harry,Hermoine,What?,392
Hermoine,Harry,I'll tell you in a minute.,393
Harry,Hermoine,Maybe you could tell me now.,394
Hermoine,Harry,"The sword of Gryffindor, it's goblin-made.",395
Harry,Hermoine,Brilliant,396
Hermoine,Harry,"No, you don't understand. Dirt and rust have no effect on the blade. It only takes in that which makes it stronger.",397
Harry,Hermoine,Okay,398
Hermoine,Harry,"Harry, you've already destroyed one Horcrux, right? Tom Riddle's diary in the Chamber of Secrets.",399
Harry,Hermoine,With a Basilisk fang. If you tell me you've got one of those…...in that bloody beaded bag of yours…,400
Hermoine,Harry,"Don't you see? In the Chamber of Secrets, you stabbed the Basilisk with the sword of Gryffindor. Its blade is impregnated with Basilisk venom.",401
Harry,Hermoine,It only takes in that which makes it stronger.,402
Hermoine,Harry,"Exactly, which is why",403
Harry,Hermoine,It can destroy Horcruxes,404
Hermoine,Harry,That's why Dumbledore left it to you in his will.,405
Harry,Hermoine,"You are brilliant, Hermione. Truly.",406
Hermoine,Harry,"Actually, I'm highly logical, which allows me to look past extraneous detail…...and perceive clearly that which others overlook.",407
Harry,Hermoine,"Yeah, there's only one problem, of course.",408
Ron,Harry,"The sword was stolen. Yeah, I'm still here. But you two carry on. Don't let me spoil the fun.",409
Harry,Ron,What's wrong?,410
Ron,Harry,"Wrong? Nothing's wrong. Not according to you, anyway.",411
Harry,Ron,"Look, if you've got something to say, don't be shy. Spit it out.",412
Ron,Harry,"All right, I'll spit it out. But don't expect me to be grateful…...because there's another damn thing we've gotta find.",413
Harry,Ron,I thought you knew what you signed up for.,414
Ron,Harry,Yeah. I thought I did too.,415
Harry,Ron,"Well then, I'm sorry, but I don't quite understand. What part of this isn't living up to your expectations? Did you think we were gonna be staying in a hotel? Finding a Horcrux every other day? Thought you'd be back by Christmas?",416
Ron,Harry,"I just thought, after all this time…...we would've achieved something. I thought you knew what you were doing. I thought Dumbledore told you something worthwhile. I thought you had a plan",417
Harry,Ron,"I told you everything that Dumbledore told me. And In case you haven't noticed, we found a Horcrux.",418
Ron,Harry,"Yeah, and we're as close to getting rid of it as we are to finding the rest of them.",419
Hermoine,Ron,Ron please take…Take the Horcrux off. You wouldn't be saying this…if you hadn't been wearing it all day.,420
